interntl_civil_aviation_org_id,aerodrome_status,community_location,elevation,aerodrome_name,longitude,latitude
CYBL,891,Campbell River,346,Campbell River Airport,-125.2339101,49.96438281
CYQQ,890,Comox,84,Comox Airport,-124.8880498,49.71063318
CAH3,892,Courtenay,9,Courtenay Airpark,-124.984525,49.67922672
CBS8,892,Port Alberni,247,Port Alberni (Alberni Valley Regional) Airport,-124.9374857,49.32202305
CYZT,891,Port Hardy,71,Port Hardy Airport,-127.366667,50.680556
CAT5,892,Port McNeill,225,Port McNeill Airport,-127.0405327,50.57729889
CAT4,891,Qualicum Beach,191,Qualicum Beach Airport,-124.3952423,49.33702974
CYCD,891,Nanaimo,93,Nanaimo Airport,-123.8713255,49.05203637
CYYJ,891,Victoria,63,Victoria International Airport,-123.4270698,48.64685931
CAE9,892,Bamfield,0,Bamfield Water Aerodrome,-125.1336899,48.8296624
CYAZ,891,Tofino,80,Tofino Airport,-125.7739001,49.08200926
CAE3,892,Campbell River,0,Campbell River Water Aerodrome,-125.2513232,50.0477939
CAT6,888,Campbell River,228,Campbell River (Campbell River & District General Hospital) Heliport,-125.2348898,50.01547502
CCR6,893,Campbell River,7,Campbell River (E & B Helicopters) Heliport,-125.275,50.041667
CBB2,894,Campbell River,7,Campbell River (West Coast) Heliport,-125.2503486,50.0456828
CAQ3,892,Coal Harbour,0,Coal Harbour Water Aerodrome,-127.583333,50.6
CBV8,889,Comox,60,Comox (St. Joseph's Hospital) Heliport,-124.942773,49.67479952
CBG9,892,Courtenay,0,Courtenay Airpark Water Aerodrome,-124.9830741,49.68023051
CAM3,892,Duncan,300,Duncan Airport,-123.7179788,48.75814797
CAL8,892,Port Alice,0,Jeune Landing Water Aerodrome,-127.4958916,50.43480399
CAR7,892,Kyuquot,0,Kyuquot Water Aerodrome,-127.366667,50.033333
CAT3,889,Nanaimo,390,Long Lake Water Aerodrome,-124.0180019,49.2164799
CAU6,892,Gold River,0,Gold River Water Aerodrome,-126.1180972,49.68310943
CBC8,889,Tofino,50,Tofino (Tofina General Hospital) Heliport,-125.9062098,49.14735445
CAB4,892,Tofino,0,Tofino Harbour Water Aerodrome,-125.9048873,49.15030195
CBR7,894,Tofino,10,Tofino Lifeboat Station Heliport,-125.9017486,49.13299927
CBK5,889,Port Alberni,272,Port Alberni (West Coast General Hospital) Heliport,-124.783034,49.24813577
CBB5,894,Port Alice,50,Port Alice (Hospital) Heliport,-127.486847,50.42675
CAW5,892,Port Hardy,0,Port Hardy Water Aerodrome,-127.4822618,50.71662459
CBS5,889,Port Hardy,85,Port Hardy (Hospital) Heliport,-127.503057,50.720833
CAM8,894,Port McNeill,0,Port McNeill Water Aerodrome,-127.1026592,50.58673956
CBM9,889,Port McNeill,150,Port McNeill (Hospital) Heliport,-127.068611,50.5825
CBJ9,889,San Juan Point,25,San Jaun Point (Coast Guard) Heliport,-124.4477721,48.53268518
CAV8,892,Shawnigan Lake,380,Shawnigan Lake Water Aerodrome,-123.6331458,48.63072462
CAC8,891,Nanaimo,0,Nanaimo Water Aerodrome,-123.9471733,49.18730079
CBG5,889,Nanaimo,292,Nanaimo (Regional General Hospital) Heliport,-123.9707764,49.18731348
CAL9,892,Tahsis,0,Tahsis Water Aerodrome,-126.662327,49.9202035
CAN3,892,Ucluelet,0,Ucluelet Water Aerodrome,-125.5537226,48.94824268
CBW7,889,Victoria,55,Victoria (General Hospital) Heliport,-123.4337974,48.467038
CBK8,889,Victoria,50,Victoria (Royal Jubilee Hospital) Heliport,-123.3265751,48.43398386
CAZ9,892,Winter Harbour,0,Winter Harbour Water Aerodrome,-128.016667,50.533333
CAP5,892,Victoria,0,Victoria Airport Water Aerodrome,-123.4435978,48.65742966
CYWH,889,Victoria Harbour,0,Victoria Harbour Water Aerodrome,-123.3670985,48.4255939
CBF7,891,Victoria,15,Victoria Harbour (Camel Point) Heliport,-123.3867579,48.41425133
CBZ7,889,Victoria Harbour,10,Victoria Harbour (Shoal Point) Heliport,-123.3836887,48.42059945
CAA5,892,Zeballos,0,Zeballos Water Aerodrome,-126.8514689,49.98309131
CAA9,894,Port Alberni,95,Sproat Lake Water Aerodrome,-124.9582169,49.28444981
CBT9,892,Port Alberni,103,Sproat Lake Tanker Base Heliport,-124.9463742,49.28980103
